objectid,wuname,wuc,hucarea,huc,swma,area_sqmi,st_areashape,st_perimetershape
286,Kalamaiki,5029,4315624.51866,5029,0,1.66600001,4315662.71639852,13139.1187325065
290,Kapoho,5020,5830959.78566,5020,0,2.25099993,5831052.01931896,11784.9645544128
291,Kaumalapau,5027,4889196.05559,5027,0,1.88800001,4889240.40190267,11681.5493073546
292,Ulaula,5026,13039225.6876,5026,0,5.03399992,13039387.2334398,18296.6565477289
293,Kawaiu,5021,6959300.01028,5021,0,2.68700004,6959411.05958801,12912.6590831277
403,Puaaluu,6088,1361410.53981,6088,0,0.52600002,1361434.23136444,6032.21926729746
294,Mahanalua,5022,4711872.06689,5022,0,1.81900001,4711943.7999953,10972.3786907967
300,Poelua,6016,5174998.90448,6016,0,1.99800003,5175178.45798587,14779.8052642926
295,Manele,5023,9511840.5118,5023,0,3.6730001,9512015.31108384,17122.4382835394
296,Anapuka,5024,17423651.1528,5024,0,6.72700024,17423979.7534591,21899.3727786634
297,Honokohau,6014,29686320.4062,6014,0,1.14600003,29687432.873773,43044.3598148003
298,Anakaluahine,6015,7002227.38879,6015,0,2.704,7002461.49314116,17427.6687670132
299,Honolua,6013,12283194.3637,6013,0,4.74300003,12283646.2215617,29818.8593991698
404,Opelu,6092,1347230.96616,6092,0,0.51999998,1347256.11994185,9548.84904521256
405,Kanaio,6107,87471185.1552,6107,0,3.37700009,87474241.7179766,56694.69760973
301,Honanana,6017,11957559.9462,6017,0,4.6170001,11958031.6994488,19681.8259497144
302,Honokahua,6012,13720041.903,6012,0,5.29699993,13720590.0015233,27071.4105895245
303,Kahana,6011,23255271.8721,6011,0,8.97900009,23256249.8732409,32022.2006579582
304,Kahakuloa,6018,10860718.6319,6018,0,4.19299984,10861166.1121614,22284.358769595
305,Waipili,6019,6805304.6822,6019,0,2.62800002,6805587.50566312,17717.9213983829
307,Makamakaole,6021,5847816.95348,6021,0,2.2579999,5848056.45939008,14676.6472734942
308,Honokowai,6010,22729323.7596,6010,0,8.77600002,22730263.6062165,30495.803541867
309,Waihee,6022,18240982.2511,6022,1,7.04300022,18241716.1899449,24270.2473950757
310,Kuiaha,6028,21481907.5397,6028,0,8.29399967,21482458.9285525,29740.2638453097
311,Maliko,6027,70213090.127,6027,0,2.71000004,70214935.3791444,55448.2447386796
313,Waiehu,6023,25997837.0682,6023,1,1.00300002,25998857.1158068,22770.4816871103
314,Kaupakulua,6029,9850761.0405,6029,0,3.80299997,9851009.5239243,26140.6371431979
315,Uaoa,6031,6123102.16684,6031,0,2.36400008,6123252.6472177,15331.8862115625
316,Kakipi,6033,24423121.8325,6033,0,9.43000031,24423709.6951985,40685.7825787394
319,Honopou,6034,7002343.53171,6034,0,2.704,7002495.97033846,20994.5704755181
320,Hoolawa,6035,12470244.3351,6035,0,4.81500006,12470479.2326822,27860.5594078539
321,Waipio,6036,2643307.60294,6036,0,1.02100003,2643356.8104498,13711.6493815659
322,Kailua Gulch,6026,76308394.2286,6026,0,2.9460001,76310530.7404273,59753.4705430924
323,Iao,6024,57828513.7307,6024,1,2.23200011,57830562.9602872,45579.5677132783
324,Hanehoi,6037,3662591.59911,6037,0,1.41400003,3662660.44361809,14058.0764129596
336,Kolea,6046,1812973.45931,6046,0,0.69999999,1813008.59844071,8755.48064707359
337,Waikamoi,6047,13601419.4261,6047,0,5.25199986,13601700.7038909,37963.8610679908
325,Hoalua,6038,3173551.05212,6038,0,1.22500002,3173611.13460946,15882.5582678849
348,Ohia,6054,724893.584306,6054,0,0.28,724908.104130079,5078.10037011372
330,Nailiilihaele,6041,9146613.42901,6041,0,3.53200006,9146789.66867248,20901.1774703283
332,Oopuola,6043,3178897.48689,6043,0,1.227,3178958.7119614,12373.1271444438
